                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.52197,                0.43418,                 1.0473,                0.89517,                0.86957,                0.92714,                0.65818,                 1.0549,                0.73557,                  1.582,              0.0008615,              0.0008615,              0.0008615
                    117,                 0.5032,                0.43861,                 1.0282,                0.90458,                0.91304,                0.90906,                0.67145,                 1.0722,                0.71368,                 1.6158,              0.0008516,              0.0008516,              0.0008516
                    118,                0.47738,                 0.4153,                 1.0123,                0.90565,                0.91304,                0.91118,                0.68833,                 1.0429,                0.70233,                 1.5604,              0.0008417,              0.0008417,              0.0008417
                    119,                0.55975,                0.54437,                 1.0855,                 0.9044,                0.91304,                0.91632,                0.67144,                 1.0468,                0.66058,                 1.5526,              0.0008318,              0.0008318,              0.0008318
                    120,                0.53396,                 0.4593,                 1.0555,                0.90668,                0.91304,                0.93911,                0.68059,                  1.058,                0.68113,                 1.5366,              0.0008219,              0.0008219,              0.0008219
                    121,                0.51358,                0.44597,                 1.0572,                0.92168,                0.91304,                0.94477,                0.69344,                 1.0339,                 0.6182,                 1.5041,               0.000812,               0.000812,               0.000812
                    122,                0.51869,                0.43147,                 1.0403,                0.94898,                0.91304,                0.94874,                 0.7053,                0.98604,                0.64399,                 1.5013,              0.0008021,              0.0008021,              0.0008021
                    123,                0.49741,                0.43712,                 1.0269,                0.90793,                0.91304,                0.92523,                0.71031,                 1.0043,                0.63534,                 1.5328,              0.0007922,              0.0007922,              0.0007922
                    124,                0.49801,                0.44274,                 1.0717,                      1,                0.85884,                0.91714,                0.66663,                 1.0623,                0.64519,                 1.6013,              0.0007823,              0.0007823,              0.0007823
                    125,                0.50165,                0.41603,                 1.0466,                 0.9058,                0.91304,                0.91161,                0.65272,                 1.0548,                0.67327,                 1.5619,              0.0007724,              0.0007724,              0.0007724
                    126,                0.53451,                0.45553,                 1.0745,                0.90715,                0.91304,                0.91421,                0.66479,                 1.0638,                0.70758,                 1.5647,              0.0007625,              0.0007625,              0.0007625
                    127,                0.48769,                 0.4093,                 1.0212,                0.95441,                0.91038,                0.92085,                0.69565,                 1.0805,                 0.7443,                 1.5688,              0.0007526,              0.0007526,              0.0007526
                    128,                 0.4744,                0.41158,                 1.0198,                      1,                0.90414,                0.92396,                0.67949,                 1.1269,                0.79232,                 1.6219,              0.0007427,              0.0007427,              0.0007427
                    129,                0.50893,                0.42401,                 1.0369,                0.95156,                0.91304,                0.92445,                 0.6538,                 1.1337,                0.74192,                 1.6487,              0.0007328,              0.0007328,              0.0007328
                    130,                0.47937,                0.40804,                  1.013,                0.90764,                0.91304,                0.92893,                 0.6819,                 1.0641,                0.74571,                 1.6301,              0.0007229,              0.0007229,              0.0007229
                    131,                0.50058,                0.43913,                  1.044,                0.98357,                0.86957,                0.92472,                0.66623,                 1.0808,                0.71333,                 1.6216,               0.000713,               0.000713,               0.000713
                    132,                 0.5048,                0.43697,                 1.0592,                0.99003,                0.86957,                 0.9125,                0.64833,                 1.1262,                0.69851,                 1.6143,              0.0007031,              0.0007031,              0.0007031
                    133,                0.49418,                0.45088,                 1.0419,                0.93143,                0.86957,                0.92577,                0.66564,                 1.0425,                 0.6555,                 1.5431,              0.0006932,              0.0006932,              0.0006932
                    134,                 0.4711,                0.42129,                  1.015,                 0.9428,                0.86957,                0.92947,                0.66933,                  1.008,                0.66187,                 1.5273,              0.0006833,              0.0006833,              0.0006833
                    135,                 0.4659,                 0.4079,                 1.0103,                0.95202,                0.86302,                0.93554,                0.68929,                0.97615,                0.64198,                 1.5081,              0.0006734,              0.0006734,              0.0006734
                    136,                 0.4738,                0.39242,                 1.0163,                      1,                0.86175,                0.93194,                0.69924,                0.96672,                 0.6369,                 1.4655,              0.0006635,              0.0006635,              0.0006635
                    137,                0.47977,                0.39934,                 1.0206,                0.95425,                0.90709,                0.92564,                0.71038,                0.93889,                0.62775,                 1.4502,              0.0006536,              0.0006536,              0.0006536
                    138,                0.44771,                0.39679,                 1.0237,                0.87265,                0.91304,                0.91473,                0.71397,                0.91913,                0.57385,                 1.4386,              0.0006437,              0.0006437,              0.0006437
                    139,                0.44692,                0.42547,                 1.0054,                0.87237,                0.91304,                0.92393,                0.71713,                0.91266,                0.55113,                 1.3929,              0.0006338,              0.0006338,              0.0006338
                    140,                0.47032,                0.39639,                 1.0288,                0.95225,                0.91304,                 0.9186,                0.72267,                0.89681,                0.53985,                 1.3781,              0.0006239,              0.0006239,              0.0006239
                    141,                 0.4724,                0.40188,                 1.0212,                0.98345,                0.86957,                0.92113,                0.71655,                0.96752,                0.57505,                  1.471,               0.000614,               0.000614,               0.000614
                    142,                0.44934,                0.38953,                0.99199,                0.98944,                0.86957,                0.93013,                0.71058,                 0.9569,                0.57015,                 1.4459,              0.0006041,              0.0006041,              0.0006041
                    143,                0.45917,                0.36731,                0.99474,                0.94711,                0.86957,                0.93997,                 0.6943,                0.97597,                0.56593,                 1.4483,              0.0005942,              0.0005942,              0.0005942
                    144,                0.45085,                0.40236,                 1.0127,                0.99397,                0.86957,                0.94529,                0.70259,                 1.0057,                0.56457,                 1.4987,              0.0005843,              0.0005843,              0.0005843
                    145,                0.42964,                0.39329,                 1.0226,                0.99842,                0.86957,                0.94156,                  0.712,                0.99305,                0.58498,                 1.4757,              0.0005744,              0.0005744,              0.0005744
                    146,                0.43869,                0.39786,                 1.0027,                0.99384,                0.82609,                0.92876,                0.70369,                0.99114,                 0.6017,                 1.4548,              0.0005645,              0.0005645,              0.0005645
                    147,                0.43797,                0.38775,                0.97737,                0.99325,                0.86957,                0.93596,                0.70582,                0.96401,                0.57724,                 1.4156,              0.0005546,              0.0005546,              0.0005546
                    148,                 0.4577,                0.40605,                  1.017,                0.95197,                0.91304,                0.94374,                0.72078,                0.97791,                 0.5727,                 1.4283,              0.0005447,              0.0005447,              0.0005447
                    149,                0.42916,                0.38342,                0.99636,                0.99894,                0.91304,                0.95346,                0.73278,                0.95294,                0.53541,                 1.4025,              0.0005348,              0.0005348,              0.0005348
                    150,                 0.4607,                0.40551,                0.99295,                0.99857,                0.91304,                0.94806,                0.72429,                0.93229,                0.52639,                 1.3977,              0.0005249,              0.0005249,              0.0005249
                    151,                0.42005,                0.37034,                0.98777,                 0.9513,                0.91304,                0.94639,                0.72069,                0.92157,                0.51535,                 1.4039,               0.000515,               0.000515,               0.000515
